state_name,year,living_veterans,
Alabama,2015,377310,
Alaska,2015,68008,
Arizona,2015,522188,
Arkansas,2015,227840,
California,2015,1789862,
Colorado,2015,411683,
Connecticut,2015,199163,
Delaware,2015,73760,
District of Columbia,2015,28977,
Florida,2015,1594218,
Georgia,2015,700814,
Hawaii,2015,113385,
Idaho,2015,124123,
Illinois,2015,665968,
Indiana,2015,427328,
Iowa,2015,216713,
Kansas,2015,199486,
Kentucky,2015,302068,
Louisiana,2015,290455,
Maine,2015,119554,
Maryland,2015,408522,
Massachusetts,2015,349687,
Michigan,2015,627500,
Minnesota,2015,347277,
Mississippi,2015,195629,
Missouri,2015,458702,
Montana,2015,93356,
Nebraska,2015,135893,
Nevada,2015,225414,
New Hampshire,2015,110873,
New Jersey,2015,387844,
New Mexico,2015,163554,
New York,2015,838129,
North Carolina,2015,731241,
North Dakota,2015,52371,
Ohio,2015,817840,
Oklahoma,2015,308729,
Oregon,2015,316982,
Pennsylvania,2015,872301,
Rhode Island,2015,67741,
South Carolina,2015,404818,
South Dakota,2015,66406,
Tennessee,2015,478599,
Texas,2015,1603328,
Utah,2015,137604,
Vermont,2015,45360,
Virginia,2015,733046,
Washington,2015,575128,
West Virginia,2015,147869,
Wisconsin,2015,383399,
Wyoming,2015,47686,
Puerto Rico,2015,85905,
Island Areas & Foreign,2015,111919,